■エネルギーコース　担当教員一覧													※技術経営専門職学位過程は「担当系」のみに入力																																												
																																																									
NO	管理サイト		職種		教員名								主担当				副担当1				副担当2				副担当3				副担当4				副担当5				副担当6				研究分野1		研究分野2		研究分野3		研究分野4		詳細サイト		研究者情報（STAR Search）						
					日本語（Webサイト表示用）		日本語（かな・50音順ソート用）			英語（Webサイト表示用）			担当系		担当コース		担当系		担当コース		担当系		担当コース		担当系		担当コース		担当系		担当コース		担当系		担当コース		担当系		担当コース		日本語	英語	日本語	英語	日本語	英語	日本語	英語	日本語	英語			教員名　半角カナ				
	管理サイト名	コード	職種名	系サイト職種コード	姓	名	種別	姓	名	種別	名	姓	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード									URL	URL	ＩＤ		姓	名			
	応用化学系	021	教授	001	佐藤	浩太郎	さ	さとう	こうたろう	4	Kotaro	Satoh	応用化学系	021	エネルギーコース	001																									高分子合成	Polymer Synthesis	精密重合	Precision Polymerization	リビング重合	Living Polymerization	バイオベースポリマー	Bio-Based Polymers	http://www.satoh-cap.mac.titech.ac.jp/	http://www.satoh-cap.mac.titech.ac.jp/eng/e_index.html	key_rid=6000001727		ｻﾄｳ	ｺｳﾀﾛｳ			
52	システム制御系	016	准教授	002	佐藤	進	さ	さとう	すすむ	4	Susumu	Sato	システム制御系	016	システム制御コース	016	機械系	015	機械コース	015	機械系	015	エネルギーコース	001																	排気後処理	Exhaust after-treatment	代替燃料	Alternative fuel	エンジン	Internal combustion engines			http://www.ec.ctrl.titech.ac.jp 	http://www.ec.ctrl.titech.ac.jp 	key_rid=6000005791		ｻﾄｳ	ｽｽﾑ			
53	材料系	020	助教	004	ザメンゴ	マッシミリアーノ	さ	ざめんご	まっしみりあーの	5	Massimiliano	Zamengo	材料系	020	エネルギーコース	001																																			key_t2r2Rid=CTT100593020		ｻﾞﾒﾝｺﾞ	ﾏｯｼﾐﾘｱｰﾉ			
52	材料系	020	准教授	002	三宮	工	さ	さんのみや	たくみ	4	Takumi	Sannomiya	材料系	020	材料コース	020	材料系	020	エネルギーコース	001	材料系	020	ライフエンジニアリングコース	003																	透過電子顕微鏡	Transmission electron microscopy	ナノ光学材料	Nanooptical materials	プラズモニクス	Plasmonics	バイオセンサー	Biosensors	http://www.sannomiya.iem.titech.ac.jp/Home.htm	http://www.sannomiya.iem.titech.ac.jp/HomeEn.htm	key_t2r2Rid=CTT100620163		ｻﾝﾉﾐﾔ	ﾀｸﾐ			
54	材料系	020	教授	001	史	蹟	さ	し	せき	4	Ji	Shi	材料系	020	エネルギーコース	001	材料系	020	材料コース	020																					金属物性	Metal physics	薄膜工学	Thin film technology	磁性薄膜	Magnetic thin films	ナノヘテロ構造	Nanohetero structures	http://www.nakamura-shi.mtl.titech.ac.jp	http://www.nakamura-shi.mtl.titech.ac.jp/english/	key_rid=5000039904		ｼ	ｾｷ			
55	応用化学系	021	教授	001	宍戸	厚	さ	ししど	あつし	4	Atsushi	Shishido	応用化学系	021	エネルギーコース	001	応用化学系	021	応用化学コース	021																					高分子	Polymer	光	Light	液晶	Liquid crystal	材料	Material	http://www.polymer.res.titech.ac.jp/	http://www.polymer.res.titech.ac.jp/english/	key_rid=1000326008		ｼｼﾄﾞ	ｱﾂｼ			
56	機械系	015	准教授	002	志村	祐康	さ	しむら	まさやす	4	Masayasu	Shimura	機械系	015	エネルギーコース	001	機械系	015	機械コース	015																					乱流	Turbulent flows	反応性乱流	Turbulent reacting flows	レーザー計測	Laser diagnostics	高性能数値計算	High performance computing	http://www.reactiveflows.mech.e.titech.ac.jp/	http://www.reactiveflows.mech.e.titech.ac.jp/index_en.html	key_t2r2Rid=CTT100514967		ｼﾑﾗ	ﾏｻﾔｽ			
57	応用化学系	021	教授	001	下山	裕介	さ	しもやま	ゆうすけ	4	Yusuke	Shimoyama	応用化学系	021	応用化学コース	021	応用化学系	021	エネルギーコース	001																					化学工学	Chemical engineering	超臨界流体	Supercitical fluid	ナノ構造材料	Nano-structured material	分離材料	Material for separation	http://www.chemeng.titech.ac.jp/~yshimo/index.html	http://www.chemeng.titech.ac.jp/~yshimo/index.html	key_rid=5000091395		ｼﾓﾔﾏ	ﾕｳｽｹ			
58	機械系	015	教授	001	肖	鋒	さ	しゃお	ふぇん	5	Feng	Xiao	機械系	015	機械コース	015	機械系	015	エネルギーコース	001	融合理工学系	027	エネルギーコース	001																	数値流体力学	Computational fluid dynamics	計算物理	Computational physics	数値解析	Numerical analysis	コンピュータシミュレーション	Computer simulation	http://www.xiao.mech.e.titech.ac.jp/	http://www.xiao.mech.e.titech.ac.jp/	key_rid=1000321700		ｼｬｵ	ﾌｪﾝ			
59	機械系	015	教授	001	末包	哲也	さ	すえかね	てつや	4	Tetsuya	Suekane	機械系	015	エネルギーコース	001	機械系	015	機械コース	015																					二酸化炭素地下貯留	Carbon dioxide capture and storage（CCS）	原油増進回収	Enhanced oil recovery（EOR)	温暖化防止	Mitigation of global warming	エネルギー変換	Energy conversion	http://www.suekane.mech.e.titech.ac.jp/index-j.html	http://www.suekane.mech.e.titech.ac.jp/	key_rid=B000260459		ｽｴｶﾈ	ﾃﾂﾔ			
60	材料系	020	教授	001	須佐	匡裕	さ	すさ	まさひろ	4	Masahiro	Susa	材料系	020	エネルギーコース	001	材料系	020	材料コース	020																					金属物理化学	Physical chemistry of metals	鉄鋼生産プロセス	Steelmaking process	熱物性測定	Thermophysical properties measueents	サーマルマネジメント	Thermal management	http://www.susalab.mtl.titech.ac.jp/	http://www.susalab.mtl.titech.ac.jp/english/	key_rid=1000181709		ｽｻ	ﾏｻﾋﾛ			
62	応用化学系	021	助教	004	鈴木	耕太	さ	すずき	こうた	4	Kota	Suzuki	応用化学系	021	エネルギーコース	001																									固体電解質	Solid electrolytes	高容量電極材料	High capacity electrode materials 	全固体電池	All-solid-state batteries	界面反応解析	Interfacial reaction analysis	http://www.kanno.echem.titech.ac.jp/	http://www.kanno.echem.titech.ac.jp/english/	key_t2r2Rid=CTT100513031		ｽｽﾞｷ	ｺｳﾀ			
55	応用化学系	021	教授	001	関口	秀俊	さ	せきぐち	ひでとし	4	Hidetoshi	Sekiguchi	応用化学系	021	応用化学コース	021	応用化学系	021	エネルギーコース	001																					プラズマプロセッシング	Plasma processing 	高エネルギー密度場反応工学	Reaction enginering with high energy density field	熱エネルギー工学	Thermal energy engineering	環境化学工学	Environmental chemical engineering	http://www.chemeng.titech.ac.jp/01annai/fclty/profile/hsekiguc/profilej.htm	http://www.chemeng.titech.ac.jp/english/faculty/sekiguchi/profile.html	key_rid=1000015265		ｾｷｸﾞﾁ	ﾋﾃﾞﾄｼ			
63	材料系	020	教授	001	曽根	正人	さ	そね	まさと	4	Masato	Sone	材料系	020	ライフエンジニアリングコース	003	材料系	020	材料コース	020	材料系	020	エネルギーコース	001																											key_t2r2Rid=CTT100381840		ｿﾈ	ﾏｻﾄ			
65	融合理工学系	027	教授	001	高橋	邦夫	た	たかはし	くにお	4	Kunio	Takahashi	融合理工学系	027	地球環境共創コース	027	融合理工学系	027	エンジニアリングデザインコース	002	融合理工学系	027	エネルギーコース	001																	機械工学	Mechanical engineering	材料工学	Material science	接合工学	Welding and joining 	トライボロジー	Tribology	http://www.ide.titech.ac.jp/~KT-lab/	http://www.ide.titech.ac.jp/~KT-lab/	key_rid=1000015374		ﾀｶﾊｼ	ｸﾆｵ			
	化学系	013	特任助教	008	田久保	耕	た	たくぼ	こう	4	Kou	Takubo	化学系	013	エネルギーコース	001																									固体物性	Solid state physics	光物性	Optical properties of solid	電子線回折	Electron diffraction	X線分光	X-ray spectroscopy	http://www.chemistry.titech.ac.jp/~koshihara/	http://www.chemistry.titech.ac.jp/~koshihara/english2/index.html	key_rid=B000256507		ﾀｸﾎﾞ	ｺｳ			
69	材料系	020	教授	001	竹山	雅夫	た	たけやま	まさお	4	Masao	Takeyama	材料系	020	材料コース	020	材料系	020	エネルギーコース	001																					耐熱合金・耐熱鋼	Heat resistant alloys/Steels	組織制御	Microstructure control	金属間化合物	Intermetallic alloys	鉄鋼材料	Ferrous materials	http://steel.mtl.titech.ac.jp/	http://steel.mtl.titech.ac.jp/english/	key_rid=1000181710		ﾀｹﾔﾏ	ﾏｻｵ			
55	応用化学系	021	教授	001	多湖	輝興	た	たご	てるおき	4	Teruoki	Tago	応用化学系	021	応用化学コース	021	応用化学系	021	エネルギーコース	001																					化学工学	Chemical engineering	触媒反応工学	Catalysis and reaction engineering	石油化学	Petrochemical	バイオマス	Biomass	http://www.chemeng.titech.ac.jp/~tagolabo/index.html	http://www.chemeng.titech.ac.jp/~tagolabo/english/index.html	key_rid=1000265991		ﾀｺﾞ	ﾃﾙｵｷ			
71	機械系	015	教授	001	店橋	護	た	たなはし	まもる	4	Mamoru	Tanahashi	機械系	015	エネルギーコース	001	機械系	015	機械コース	015																					乱流	Turbulent flows	反応性乱流	Turbulent reacting flows	レーザー計測	Laser diagnostics	高性能数値計算	High performance computing	http://www.reactiveflows.mech.e.titech.ac.jp/	http://www.reactiveflows.mech.e.titech.ac.jp/index_en.html	key_rid=1000015412		ﾀﾅﾊｼ	ﾏﾓﾙ			
72	応用化学系	021	准教授	002	谷口	泉	た	たにぐち	いずみ	4	Izumi	Taniguchi	応用化学系	021	応用化学コース	021	応用化学系	021	エネルギーコース	001																					ナノ構造材料プロセシング	Nanostructure material processing	エネルギー貯蔵デバイス	Energy storage device	電気化学	Electrochemistry	化学工学	Chemical engineering	http://www.chemeng.titech.ac.jp/~itlab/index-j.html	http://www.chemeng.titech.ac.jp/~itlab/index.html	key_rid=1000015268		ﾀﾆｸﾞﾁ	ｲｽﾞﾐ			
74	化学系	013	助教	004	玉置	悠祐	た	たまき	ゆうすけ	4	Yusuke	Tamaki	化学系	013	エネルギーコース	001																									錯体の光化学	Photochemistry of coordination compounds	CO2還元	CO2 reduction	人工光合成	Artificial photosynthesis			http://www.chemistry.titech.ac.jp/~ishitani/index.html	http://www.chemistry.titech.ac.jp/~ishitani/en/index_en.html	key_t2r2Rid=CTT100517999		ﾀﾏｷ	ﾕｳｽｹ			
75	応用化学系	021	准教授	002	田巻	孝敬	た	たまき	たかのり	4	Takanori	Tamaki	応用化学系	021	応用化学コース	021	応用化学系	021	エネルギーコース	001																					化学工学	Chemical engineering	機能材料システム設計	Systematic material design	燃料電池	Fuel cell	バイオインスパイアード材料	Bio-inspired materials	http://www.res.titech.ac.jp/~zairyosys/yamaguchilab/index.html	http://www.res.titech.ac.jp/~zairyosys/yamaguchilab/e/index.html	key_rid=6000021730		ﾀﾏｷ	ﾀｶﾉﾘ			
76	電気電子系	017	教授	001	千葉	明	た	ちば	あきら	1	Akira	Chiba	電気電子系	017	電気電子コース	017	電気電子系	017	エネルギーコース	001																					ドライブエレクトロニクス	Drive electronics	パワーメカトロニクス	Power mechatronics	回転機	Electric machines	電気機器学	Electric apparatus	http://www.chiba.ee.titech.ac.jp/index.html	http://www.chiba.ee.titech.ac.jp/english/index.html	key_rid=1000082070		ﾁﾊﾞ	ｱｷﾗ			
77	融合理工学系	027	准教授	002	時松	宏治	た	ときまつ	こうじ	4	Koji	Tokimatsu	融合理工学系	027	地球環境共創コース	027	融合理工学系	027	エネルギーコース	001																					エネルギー技術評価	Energy technology assessment	エネルギーシステム分析	Energy systems analysis	ライフサイクルアセスメント	Lifecycle assessment	資源環境経済学	Environmental and resource economics	http://www.kt.depe.titech.ac.jp/	http://www.kt.depe.titech.ac.jp/	key_rid=5000087076		ﾄｷﾏﾂ	ｺｳｼﾞ			
78	応用化学系	021	教授	001	冨田	育義	た	とみた	いくよし	4	Ikuyoshi	Tomita	応用化学系	021	エネルギーコース	001	応用化学系	021	応用化学コース	021																					高分子合成	Polymer synthesis	高分子反応	Polymer reaction	機能性高分子	Functional polymer	有機金属化学	Organometallic chemistry	http://www.echem.titech.ac.jp/~tomita/tomita.html	http://www.echem.titech.ac.jp/~tomita/tomita.html	key_rid=1000015730		ﾄﾐﾀ	ｲｸﾖｼ			
79	応用化学系	021	准教授	002	豊田	栄	た	とよだ	さかえ	4	Sakae	Toyoda	応用化学系	021	応用化学コース	021	応用化学系	021	エネルギーコース	001																					大気化学	Atmospheric chemistry	地球環境化学	Earth and environmental chemistry	物質循環学	Material cycle analysis	分析化学	Analytical chemistry	http://nylab.chemenv.titech.ac.jp/~stoyoda/index.html	http://nylab.chemenv.titech.ac.jp/~stoyoda/index.html	key_rid=1000279242		ﾄﾖﾀﾞ	ｻｶｴ			
80	応用化学系	021	准教授	002	長井	圭治	な	ながい	けいじ	3	Keiji	Nagai	応用化学系	021	エネルギーコース	001	応用化学系	021	応用化学コース	021																					光エネルギー変換材料	Photoenergyconversion materials	化学デバイス	Chemical devices	レーザー量子線発生	Laser-induced quantum beam	有機光触媒反応	Organophotocatalysis	http://ime.res.titech.ac.jp/	http://ime.res.titech.ac.jp/english/	key_rid=1000245608		ﾅｶﾞｲ	ｹｲｼﾞ			
81	機械系	015	准教授	002	長﨑	孝夫	な	ながさき	たかお	3	Takao	Nagasaki	機械系	015	エネルギーコース	001	機械系	015	機械コース	015																					熱工学	Thermal engineering	伝熱	Heat transfer	相変化伝熱	Phase-change heat transfer	熱流体数値解析	Numerical analysis of heat and fluid flow	http://www.nagasaki.mech.e.titech.ac.jp/	http://www.nagasaki.mech.e.titech.ac.jp/index-e.html	key_t2r2Rid=CTT100381289		ﾅｶﾞｻｷ	ﾀｶｵ			
45	電気電子系	017	助教	004	中田	和吉	な	なかだ	かずよし	3	Kazuyoshi	Nakada	電気電子系	017	エネルギーコース	001																									シリコン太陽電池	Silicon solar cells	半導体デバイス	Semiconductor devices					http://solid.pe.titech.ac.jp/	http://solid.pe.titech.ac.jp/	key_t2r2Rid=CTT100509430		ﾅｶﾀﾞ	ｶｽﾞﾖｼ			
82	電気電子系	017	特任教授	005	中出	雅彦	な	なかで	まさひこ	3	Masahiko	Nakade	電気電子系	017	電気電子コース	017	電気電子系	017	エネルギーコース	001																					電力ケーブル技術	Power cable engineering	劣化診断技術	Degradation diagnostic							key_t2r2Rid=CTT100670126		ﾅｶﾃﾞ	ﾏｻﾋｺ			
83	応用化学系	021	特任教授	005	中村	二朗	な	なかむら	じろう	3	Jiro	Nakamura	応用化学系	021	エネルギーコース	001																																			key_t2r2Rid=CTT100653423		ﾅｶﾑﾗ	ｼﾞﾛｳ			
84	電気電子系	017	教授	001	七原	俊也	な	ななはら	としや	3	Toshiya	Nanahara	電気電子系	017	電気電子コース	017	電気電子系	017	エネルギーコース	001																					電力システム	Electric power system	風力発電	Wind power generation	太陽光発電	Photovoltaic power generation	分散形電源	Distributed generator			key_rid=7000005542		ﾅﾅﾊﾗ	ﾄｼﾔ			
85	材料系	020	助教	004	難波江	裕太	な	なばえ	ゆうた	3	Yuta	Nabae	材料系	020	エネルギーコース	001																									触媒	Catalysis	電気化学	Electrochemistry	ハイパーブランチポリマー	Hyperbranched polymer	燃料電池	Fuel cell	http://www.hayakawa.op.titech.ac.jp/jpn/index.html	http://www.hayakawa.op.titech.ac.jp/eng/index.html	key_rid=5000065125		ﾅﾊﾞｴ	ﾕｳﾀ			
86	応用化学系	021	助教	004	西山	寛樹	な	にしやま	ひろき	3	Hiroki	Nishiyama	応用化学系	021	エネルギーコース	001																																			key_t2r2Rid=CTT100557477		ﾆｼﾔﾏ	ﾋﾛｷ			
88	機械系	015	教授	001	野崎	智洋	な	のざき	ともひろ	3	Tomohiro	Nozaki	機械系	015	エネルギーコース	001	機械系	015	機械コース	015																					エネルギー工学	Energy engineering	熱工学	Thermal engineering	プラズマ材料科学	Plasma materials science	反応工学	Reaction engineering	http://www.nano-silicon.com/ats/	http://www.nano-silicon.com/ats/index-e.html	key_rid=1000279279		ﾉｻﾞｷ	ﾄﾓﾋﾛ			
	融合理工学系	027	特定准教授	010	野中	聡	な	のなか	さとし	3	Satoshi	Nonaka	融合理工学系	027	エネルギーコース	001																									宇宙輸送システム	Space tranportation system	再使用型ロケット	Reusable rocket	ロケットの空気力学	Aerodynamics of rocket	高速流体力学	High speed fluid dynamics			key_rid=5000019338		ﾉﾅｶ	ｻﾄｼ			
89	電気電子系	017	准教授	002	萩原	誠	は	はぎわら	まこと	2	Makoto	Hagiwara	電気電子系	017	エネルギーコース	001	電気電子系	017	電気電子コース	017																					パワーエレクトロニクス	Power electronics	モータドライブ	Motor drive	電力システム	Electric power system			http://www.akg.ee.titech.ac.jp/	http://www.akg.ee.titech.ac.jp/	key_rid=5000093269		ﾊｷﾞﾜﾗ	ﾏｺﾄ			
91	応用化学系	021	助教	004	長谷川	馨	は	はせがわ	けい	2	Kei	Hasegawa	応用化学系	021	エネルギーコース	001																																			key_rid=7000003371		ﾊｾｶﾞﾜ	ｹｲ			
92	融合理工学系	027	准教授	002	長谷川	純	は	はせがわ	じゅん	2	Jun	Hasegawa	融合理工学系	027	原子核工学コース	004	機械系	015	機械コース	015	機械系	015	エネルギーコース	001																	量子ビーム科学	Quantum beam science	プラズマ科学	Plasma science	ナノ・マイクロ科学	Nano micro science	高エネルギー密度科学	High energy density science	http://www.lane.iir.titech.ac.jp/~jhasegaw/	http://www.lane.iir.titech.ac.jp/~jhasegaw/	key_rid=1000275178		ﾊｾｶﾞﾜ	ｼﾞｭﾝ			
93	電気電子系	017	教授	001	波多野	睦子	は	はたの	むつこ	2	Mutsuko	Hatano 	電気電子系	017	エネルギーコース	001	電気電子系	017	電気電子コース	017																					電子デバイス	Electron device	パワーデバイス	Power device	量子センサ	Quantum sensor	半導体物性	Solid-state physics	http://dia.pe.titech.ac.jp/	http://dia.pe.titech.ac.jp/	key_rid=6000017099		ﾊﾀﾉ	ﾑﾂｺ			
94	材料系	020	教授	001	バッハ	マーティン	は	ばっは 	まーてぃん	5	Martin	Vacha	材料系	020	材料コース	020	材料系	020	エネルギーコース	001																					有機材料光物性	Optical properties of organic materials	有機物質光物理的特性	Photophysics of organic molecules	単一分子分光	Single-molecule spectroscopy			http://www.op.titech.ac.jp/lab/vacha/index.html	http://www.op.titech.ac.jp/lab/vacha/index-e.html	key_rid=5000094690		ﾊﾞｯﾊ 	ﾏｰﾃｨﾝ			
95	機械系	015	教授	001	花村	克悟	は	はなむら	かつのり	2	Katsunori	Hanamura	機械系	015	エネルギーコース	001	機械系	015	機械コース	015																					熱工学	Thermal engineering	近接場ふく射輸送	Near-field radiation transfer	電気化学（固体酸化物燃料電池）	Electrochemistry (Solid oxide fuel cell)	ディーゼル排ガス処理	After treatment for diesel engine	http://www.tanso.mech.e.titech.ac.jp/hanamura/index-j.html	http://www.tanso.mech.e.titech.ac.jp/hanamura/index-e.html	key_rid=5000064975		ﾊﾅﾑﾗ	ｶﾂﾉﾘ			
96	応用化学系	021	助教	004	巾崎	潤子	は	はばさき	じゅんこ	2	Junko	Habasaki	応用化学系	021	エネルギーコース	001																									分子動力学シミュレーション	Molecular dynamics simulation	イオン伝導性ガラスのダイナミクス	Dynamics in ionically conducting glasses	イオン液体の物理	Physics in ionic liquids	自己組織化によるゲル化の全原子MDシミュレーション	Fully atomistic molecular dynamics simulation of　formation of gel by self organization			key_rid=1000222097		ﾊﾊﾞｻｷ	ｼﾞｭﾝｺ			
97	材料系	020	准教授	002	林	幸	は	はやし	みゆき	2	Miyuki	Hayashi	材料系	020	エネルギーコース	001	材料系	020	材料コース	020																															key_rid=1000279220		ﾊﾔｼ	ﾐﾕｷ			
98	材料系	020	教授	001	原	亨和	は	はら	みちかず	2	Michikazu	Hara	材料系	020	材料コース	020	材料系	020	エネルギーコース	001																					触媒	Catalyst	化学反応	Chemical reaction	無機	Inorganic	不均一系触媒作用	Heterogeneous catalysis	http://www.msl.titech.ac.jp/~hara/index.html	http://www.msl.titech.ac.jp/~hara/index-e.html	key_rid=1000203929		ﾊﾗ	ﾐﾁｶｽﾞ			
99	応用化学系	021	教授	001	原	正彦	は	はら	まさひこ	2	Masahiko	Hara	応用化学系	021	応用化学コース	021	応用化学系	021	エネルギーコース	001																					自己組織化と有機超薄膜	Self-assembly and organic thin films	ナノテクノロジー	Nanotechnology	表面・界面化学	Surface and interface chemistry	化学進化と生命の起源	Chemical evolution and origins of life	http://www.echem.titech.ac.jp/~hara/	http://www.echem.titech.ac.jp/~hara/?page_id=140	key_rid=5000065000		ﾊﾗ	ﾏｻﾋｺ			
100	電気電子系	017	特定教授	009	久本	大	は	ひさもと	だい	2	Digh	Hisamoto	電気電子系	017	エネルギーコース	001	電気電子系	017	電気電子コース	017																															key_t2r2Rid=CTT100691219		ﾋｻﾓﾄ	ﾀﾞｲ			
101	機械系	015	教授	001	平井	秀一郎	は	ひらい	しゅういちろう	2	Shuichiro	Hirai	機械系	015	機械コース	015	機械系	015	エネルギーコース	001																					燃料電池	Fuel cell	リチウム空気電池	Lithium-air battery	吸着式ヒートポンプ	Absorption heat pump	CO2地中隔離	CO2 geological sequestration	http://www.tanso.mech.e.titech.ac.jp/hirai_index-j.html	 http://www.tanso.mech.e.titech.ac.jp/hirai_index-e.html	key_rid=7000018084		ﾋﾗｲ	ｼｭｳｲﾁﾛｳ			
102	応用化学系	021	准教授	002	平山	雅章	は	ひらやま	まさあき	2	Masaaki	Hirayama	応用化学系	021	エネルギーコース	001	応用化学系	021	応用化学コース	021																					無機固体化学	Solid state chemistry	エネルギー変換材料	Energy conversion materials	リチウムイオン電池	Lithium ion batteries	電気化学界面設計	Design of electrochemical interface	http://www.kanno.echem.titech.ac.jp/paper.php	http://www.kanno.echem.titech.ac.jp/english/	key_rid=6000014352		ﾋﾗﾔﾏ	ﾏｻｱｷ			
103	化学系	013	助教	004	藤井	孝太郎	は	ふじい	こうたろう	2	Kotaro	Fujii	化学系	013	エネルギーコース	001																									結晶化学	Chemical crystallography	機能性無機材料	Functional inorganic materials	回折法	Diffractometry					key_rid=B000226806		ﾌｼﾞｲ	ｺｳﾀﾛｳ			
104	電気電子系	017	准教授	002	藤田	英明	は	ふじた	ひであき	2	Hideaki	Fujita	電気電子系	017	電気電子コース	017	電気電子系	017	エネルギーコース	001																					パワーエレクトロニクス	Power electronics	電気機器	Electric machinery	電力工学	Electric power engineering			http://www.pel.ee.e.titech.ac.jp/jp/	http://www.pel.ee.e.titech.ac.jp/en/	key_rid=5000039911		ﾌｼﾞﾀ	ﾋﾃﾞｱｷ			
105	機械系	015	准教授	002	伏信	一慶	は	ふしのぶ	かずよし	2	Kazuyoshi	Fushinobu	機械系	015	機械コース	015	機械系	015	エネルギーコース	001	融合理工学系	027	エネルギーコース	001																	エネルギー・熱工学	Energy and thermal engineering	燃料電池・水素製造	Fuel cell and hydrogen production	微細加工・レーザ応用	Micro/nano-processing and laser applications	エネルギー変換・電子機器実装	Energy conversion/Electronics packaging	http://www.f-epl.mech.e.titech.ac.jp/Site/Index.html	http://www.f-epl.mech.e.titech.ac.jp/english/Index-E.html	key_rid=1000181728		ﾌｼﾉﾌﾞ	ｶｽﾞﾖｼ			
106	材料系	020	教授	001	細田	秀樹	は	ほそだ	ひでき	2	Hideki	Hosoda	材料系	020	材料コース	020	材料系	020	エネルギーコース	001	材料系	020	ライフエンジニアリングコース	003																	材料工学	Materials science and engineering	金属工学	Metallurgy	機能性材料	Functional materials	エネルギーおよび医療用材料	Energy and biomedical applications	http://www.mater.pi.titech.ac.jp/	http://www.mater.pi.titech.ac.jp/	key_rid=1000326000		ﾎｿﾀﾞ	ﾋﾃﾞｷ			
108	電気電子系	017	特定准教授	010	堀口	剛司	は	ほりぐち	たけし	2	Takeshi	Horiguchi	電気電子系	017	エネルギーコース	001	電気電子系	017	電気電子コース	017																					パワーデバイスシミュレーション	Power device simulation	パワーエレクトロニクス応用技術	Application of power electronics	電力変換回路	Power conversion system			http://www.dmdl.ee.e.titech.ac.jp/	http://www.dmdl.ee.e.titech.ac.jp/english/	key_t2r2Rid=CTT100645374		ﾎﾘｸﾞﾁ	ﾀｹｼ			
109	化学系	013	准教授	002	前田	和彦	ま	まえだ	かずひこ	3	Kazuhiko	Maeda	化学系	013	エネルギーコース	001	化学系	013	化学コース	013																					光触媒	Photocatalyst	人工光合成	Artificial photosynthesis	光電気化学	Photoelectrochemistry	ナノ材料	Nanomaterials	http://www.chemistry.titech.ac.jp/~ishitani/member/kmaeda/Home.html	http://www.chemistry.titech.ac.jp/~ishitani/member/kmaeda/Home.html	key_rid=6000015609		ﾏｴﾀﾞ	ｶｽﾞﾋｺ			
110	材料系	020	准教授	002	松下	祥子	ま	まつした	さちこ	3	Sachiko	Matsushita	材料系	020	材料コース	020	材料系	020	エネルギーコース	001																					エネルギー	Energy	熱電	Thermoelectric generator	コロイド	Colloid	無機	Inorganic material	http://www.rmat.ceram.titech.ac.jp/	http://www.rmat.ceram.titech.ac.jp/index_e.html	key_rid=5000072115		ﾏﾂｼﾀ	ｻﾁｺ			
111	材料系	020	講師	003	松田	晃史	ま	まつだ	あきふみ	3	Akifumi	Matsuda	材料系	020	エネルギーコース	001	材料系	020	材料コース	020																					電子・エネルギー材料	Electronic and energy materials	無機薄膜・ナノ材料	Inorganic thin films and nanomaterials	原子スケールプロセス	Atomic-scale material processing	新材料探索	New materials development	http://www.yoshimoto.iem.titech.ac.jp/	http://www.yoshimoto.iem.titech.ac.jp/english.html	key_rid=B000273879		ﾏﾂﾀﾞ	ｱｷﾌﾐ			
112	材料系	020	准教授	002	松本	英俊	ま	まつもと	ひでとし	3	Hidetoshi	Matsumoto	材料系	020	エネルギーコース	001	材料系	020	材料コース	020																					有機材料物理化学	Physical chemistry of organic materials 	ナノファイバー・ナノ材料	Nanofibers and nanomaterials	高分子膜	Polymer membranes and thin films	エネルギー変換・貯蔵	Energy conversion and storage	http://www.op.titech.ac.jp/lab/matsumoto/index-j.html	http://www.op.titech.ac.jp/lab/matsumoto/index-j.html	key_rid=5000039879		ﾏﾂﾓﾄ	ﾋﾃﾞﾄｼ			
9	応用化学系	021	准教授	002	松本	秀行	ま	まつもと	ひでゆき	3	Hideyuki	Matsumoto	応用化学系	021	応用化学コース	021	応用化学系	021	エネルギーコース	001																					プロセスシステム工学	Process Systems Engineering	プロセス強化	Process Intensification	知的システム	Intelligent Systems			http://www.chemeng.titech.ac.jp/~cps/hm/index.html	http://www.chemeng.titech.ac.jp/~cps/hm/index.html	key_rid=1000279256		ﾏﾂﾓﾄ	ﾋﾃﾞﾕｷ			
113	機械系	015	助教	004	源	勇気	ま	みなもと	ゆうき	3	Yuki	Minamoto	機械系	015	エネルギーコース	001																									乱流燃焼	Turbulent combustion	数値流体力学	Computational fluid dynamics	計算科学	Computational science	自然災害シミュレーション	Natural disaster simulations	http://www.reactiveflows.mech.e.titech.ac.jp/	http://www.reactiveflows.mech.e.titech.ac.jp/index_en.html	key_t2r2Rid=CTT100512175		ﾐﾅﾓﾄ	ﾕｳｷ			
114	材料系	020	教授	001	宮内	雅浩	ま	みやうち	まさひろ	3	Masahiro	Miyauchi	材料系	020	エネルギーコース	001	材料系	020	材料コース	020																					光エネルギー変換材料	Photo-energy conversion materials	光触媒	Photocatalysis	太陽電池	Solar cell	無機溶液合成	Solution based synthesis of ceramics	http://scholar.google.co.jp/citations?hl=en&user=f8vRP-QAAAAJ	http://scholar.google.co.jp/citations?hl=en&user=f8vRP-QAAAAJ	key_rid=B000226793		ﾐﾔｳﾁ	ﾏｻﾋﾛ			
