■エネルギーコース　担当教員一覧													※技術経営専門職学位過程は「担当系」のみに入力																																												
																																																									
NO	管理サイト		職種		教員名								主担当				副担当1				副担当2				副担当3				副担当4				副担当5				副担当6				研究分野1		研究分野2		研究分野3		研究分野4		詳細サイト		研究者情報（STAR Search）						
					日本語（Webサイト表示用）		日本語（かな・50音順ソート用）			英語（Webサイト表示用）			担当系		担当コース		担当系		担当コース		担当系		担当コース		担当系		担当コース		担当系		担当コース		担当系		担当コース		担当系		担当コース		日本語	英語	日本語	英語	日本語	英語	日本語	英語	日本語	英語			教員名　半角カナ				
	管理サイト名	コード	職種名	系サイト職種コード	姓	名	種別	姓	名	種別	名	姓	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード									URL	URL	ＩＤ		姓	名			
13	材料系	020	教授	001	稲邑	朋也	あ	いなむら	ともなり	2	Tomonari	Inamura	材料系	020	材料コース	020	材料系	020	エネルギーコース	001																					金属の相変態	Phase transformation in metals	結晶学	Crystallography	金属組織学	Metallography	形状記憶合金	Shape memory alloy	http://www.mater.pi.titech.ac.jp/	http://www.mater.pi.titech.ac.jp/	key_rid=5000065006		ｲﾅﾑﾗ	ﾄﾓﾅﾘ			
14	機械系	015	教授	001	井上	剛良	あ	いのうえ	たかよし	2	Takayoshi	Inoue	機械系	015	機械コース	015	機械系	015	エネルギーコース	001																					伝熱工学	Heat transfer	熱工学	Thermal engineering	エネルギー工学	Energy engineering	航空宇宙工学	Ａｅｒｏｓｐａｃｅ engineering	http://www.netsu.mech.e.titech.ac.jp/index-j.html	http://www.netsu.mech.e.titech.ac.jp/	key_t2r2Rid=CTT100380575		ｲﾉｳｴ	ﾀｶﾖｼ			
15	応用化学系	021	教授	001	伊原	学	あ	いはら	まなぶ	2	Manabu	Ihara	応用化学系	021	エネルギーコース	001	応用化学系	021	応用化学コース	021																					固体酸化物燃料電池	Solid oxide fuel cells	プラズモニック太陽電池	Plasmonic solar cells	ダイレクトカーボン燃料電池	Direct carbon fuel cells	エネルギーシステム設計	Design of energy system	http://www.chemeng.titech.ac.jp/~iharalab/		key_rid=1000221856		ｲﾊﾗ	ﾏﾅﾌﾞ			
10	電気電子系	017	准教授	002	岩﨑	孝之	あ	いわさき	たかゆき	2	Takayuki	Iwasaki	電気電子系	017	電気電子コース	017	電気電子系	017	エネルギーコース	001																					ダイヤモンドエレクトロニクス	Diamond electronics	パワーデバイス	Power device	量子センシング	Quantum sensing			http://dia.pe.titech.ac.jp/	http://dia.pe.titech.ac.jp/	key_rid=6000006148		ｲﾜｻｷ	ﾀｶﾕｷ			
17	化学系	013	教授	001	岩澤	伸治	あ	いわさわ	のぶはる	2	Nobuharu	Iwasawa	化学系	013	化学コース	013	化学系	013	エネルギーコース	001																					有機合成化学	Synthetic organic chemistry	有機金属化学	Organometallic chemistry	有機反応化学	Organic reactions	超分子化学	Supramolecular chemistry	http://www.chemistry.titech.ac.jp/~iwasawa/index.html	http://www.chemistry.titech.ac.jp/~iwasawa/index.html	key_rid=1000279016		ｲﾜｻﾜ	ﾉﾌﾞﾊﾙ			
18	材料系	020	准教授	002	上田	光敏	あ	うえだ	みつとし	5	Mitsutoshi	Ueda	材料系	020	エネルギーコース	001	材料系	020	材料コース	020																					金属材料の高温酸化	High temperature oxidation of metallic materials	高温物理化学	Physical chemistry at high temperature					http://www.mkg.mtl.titech.ac.jp/		key_t2r2Rid=CTT100380408		ｳｴﾀﾞ	ﾐﾂﾄｼ			
19	材料系	020	助教	004	遠藤	理恵	あ	えんどう	りえ	1	Rie	Endo	材料系	020	エネルギーコース	001																									高温熱物性	Thermophysical properties at high temperature	鉄鋼生産プロセス	Steelmaking process	金属物理化学	Physical chemistry of metals			http://www.susalab.mtl.titech.ac.jp/cat15/detail_62.html	http://www.susalab.mtl.titech.ac.jp/english/	key_rid=5000065031		ｴﾝﾄﾞｳ	ﾘｴ			
20	機械系	015	准教授	002	大河	誠司	あ	おおかわ	せいじ	3	Seiji	Okawa	機械系	015	エネルギーコース	001	機械系	015	機械コース	015																					過冷却現象	Supercooling phenomenon	氷蓄熱システム	Ice storage system	固液相変化	Solid-liquid phase change	凍結濃縮	Freeze concentration	http://www.netsus.mech.e.titech.ac.jp/index.html	http://www.netsus.mech.e.titech.ac.jp/index-e.html	key_rid=1000015347		ｵｵｶﾜ	ｾｲｼﾞ			
21	化学系	013	教授	001	大島	康裕	あ	おおしま	やすひろ	3	Yasuhiro	Ohshima	化学系	013	化学コース	013	化学系	013	エネルギーコース	001																					物理化学	Physical chemistry	分子分光学	Molecular spectroscopy	レーザー科学	Laser science	フェムト秒化学	Femto-chemistry	http://www.chemistry.titech.ac.jp/~ohshima/index.html	http://www.chemistry.titech.ac.jp/~ohshima/index_e.html	key_rid=1000011637		ｵｵｼﾏ	ﾔｽﾋﾛ			
23	応用化学系	021	助教	004	岡島	武義	あ	おかじま	たけよし	3	Takeyoshi	Okajima	応用化学系	021	エネルギーコース	001																									電気化学	Electrochemistry	電気分析化学	Electroanalysis	生物電気化学	Bioelectrochemistry					key_t2r2Rid=CTT100381196		ｵｶｼﾞﾏ	ﾀｹﾖｼ			
24	化学系	013	教授	001	岡田	哲男	あ	おかだ	てつお	3	Tetsuo	Okada	化学系	013	化学コース	013	化学系	013	エネルギーコース	001																					分析化学	Analytical chemistry	溶液化学	Solution chemistry	界面化学	Interfacial chemistry	マイクロ・ナノ化学	Micro/Nano chemistry	http://www.chemistry.titech.ac.jp/~okada/	http://www.chemistry.titech.ac.jp/english/chemistry/s_okada.html	key_rid=1000022856		ｵｶﾀﾞ	ﾃﾂｵ			
25	機械系	015	教授	001	岡村	哲至	あ	おかむら	てつじ	3	Tetsuji	Okamura	機械系	015	機械コース	015	機械系	015	エネルギーコース	001																					極低温工学	Cryogenic engineering	磁気冷凍	Magnetic refrigeration	冷凍/冷却技術	Refrigeration/Cooling technology	超電導応用技術	Superconducting application technology	http://www.okamura.mech.e.titech.ac.jp/	http://www.okamura.mech.e.titech.ac.jp/index-eng.html	key_rid=1000015849		ｵｶﾑﾗ	ﾃﾂｼﾞ			
26	化学系	013	准教授	002	沖本	洋一	あ	おきもと	よういち	3	Yoichi	Okimoto	化学系	013	エネルギーコース	001	化学系	013	化学コース	013																					固体化学	Sokid state chemistry	固体の光物性	Optical properties in solids	超高速分光	Ultrafast spectroscopy	酸化物エレクトロニクス	Oxide electronics	http://www.chemistry.titech.ac.jp/~koshihara/	http://www.chemistry.titech.ac.jp/~koshihara/english2/index.html	key_rid=5000087480		ｵｷﾓﾄ	ﾖｳｲﾁ			
27	機械系	015	教授	001	奥野	喜裕	あ	おくの	よしひろ	3	Yoshihiro	Okuno	機械系	015	エネルギーコース	001	機械系	015	機械コース	015																					エネルギー変換	Energy conversion	電磁流体力学	Magnetohydrodynamic	MHD発電	MHD power generation	プラズマ工学	Plasma engineering	http://www.okuno.mech.e.titech.ac.jp/	http://www.okuno.mech.e.titech.ac.jp/index-e.html	key_rid=1000181790		ｵｸﾉ	ﾖｼﾋﾛ			
25	材料系	020	教授	001	小坂田	耕太郎	あ	おさかだ	こうたろう	3	Kohtaro	Osakada	応用化学系	021	応用化学コース	021	応用化学系	021	エネルギーコース	001	材料系	020	材料コース	020																	有機金属化学	Organotransition metal chemistry	高分子精密合成	Polymer synthesis	超分子化学	Supramolecules			http://www.res.titech.ac.jp/~shinkin/		key_rid=1000015714		ｵｻｶﾀﾞ	ｺｳﾀﾛｳ			
28	材料系	020	准教授	002	鎌田	慶吾	か	かまだ	けいご	3	Keigo	Kamata	材料系	020	材料コース	020	材料系	020	エネルギーコース	001																					触媒	Catalyst	化学反応	Chemical reaction	無機	Inorganic	不均一系触媒作用	Heterogeneous catalysis	http://www.msl.titech.ac.jp/~hara/index.html	http://www.msl.titech.ac.jp/~hara/index-e.html	key_rid=5000089770		ｶﾏﾀﾞ	ｹｲｺﾞ			
29	応用化学系	021	准教授	002	川内	進	か	かわうち	すすむ	3	Susumu	Kawauchi	応用化学系	021	応用化学コース	021	材料系	020	材料コース	020	応用化学系	021	エネルギーコース	001																	計算化学	Computational chemistry	量子化学計算	Quantum chemical calculation	分子動力学シミュレーション	Molecular dynamics simulation					key_rid=1000279181		ｶﾜｳﾁ	ｽｽﾑ			
30	材料系	020	助教	004	川本	正	か	かわもと	ただし	3	Tadashi	Kawamoto	材料系	020	エネルギーコース	001																									有機超伝導体	Organic superconductors									key_rid=1000321725		ｶﾜﾓﾄ	ﾀﾀﾞｼ			
31	応用化学系	021	教授	001	菅野	了次	か	かんの	りょうじ	3	Ryoji	Kanno	応用化学系	021	エネルギーコース	001	応用化学系	021	応用化学コース	021																					固体化学	Solid-state chemistry	イオン導電体	Ionic conductors	リチウム電池	Lithium battery	燃料電池	Fuel cell	http://www.kanno.echem.titech.ac.jp/	http://www.kanno.echem.titech.ac.jp/english/	key_rid=1000310642		ｶﾝﾉ	ﾘｮｳｼﾞ			
32	機械系	015	准教授	002	木倉	宏成	か	きくら	ひろしげ	3	Hiroshige	Kikura	機械系	015	原子核工学コース	004	機械系	015	エネルギーコース	001	融合理工学系	027	原子核工学コース	004																									http://www.lane.iir.titech.ac.jp/jp/member/data/kikura.html	http://www.lane.iir.titech.ac.jp/en/member/data/kikura.html	key_rid=1000279123		ｷｸﾗ	ﾋﾛｼｹﾞ			
33	応用化学系	021	准教授	002	北村	房男	か	きたむら	ふさお	3	Fusao	Kitamura	応用化学系	021	エネルギーコース	001	応用化学系	021	応用化学コース	021																					基礎電気化学	Fundamental electrochemistry	界面反応の分光研究	Spectroscopic analysis of electrochemical processes	機能性電極の創製	Design of functional electrodes	燃料電池触媒の開発	Electrode catalyst for fuel cells	http://www.echem.titech.ac.jp/~kitamura/index.html	http://www.echem.titech.ac.jp/~kitamura/english_top.html	key_rid=1000275424		ｷﾀﾑﾗ	ﾌｻｵ			
34	材料系	020	教授	001	木村	好里	か	きむら	よしさと	3	Yoshisato	Kimura	材料系	020	エネルギーコース	001	材料系	020	材料コース	020																					熱電材料	Thermoelectric materials	耐熱合金	Heat resistant alloys	結晶構造・組織制御	Crystal structure and microstructure control	金属	Metallurgy	http://j3www.materia.titech.ac.jp/mishima-kimura/	http://j3www.materia.titech.ac.jp/mishima-kimura/index_eng.html	key_rid=1000181712		ｷﾑﾗ	ﾖｼｻﾄ			
36	電気電子系	017	特定教授	009	葛本	昌樹	か	くずもと	まさき	3	Masaki	Kuzumoto	電気電子系	017	エネルギーコース	001	電気電子系	017	電気電子コース	017																					パワーデバイス	Power device	パワーエレクトロニクス	Power electronics	シミュレーション	Simulation			http://www.dmdl.ee.e.titech.ac.jp/	http://www.dmdl.ee.e.titech.ac.jp/english/	key_t2r2Rid=CTT100688119		ｸｽﾞﾓﾄ	ﾏｻｷ			
39	融合理工学系	027	教授	001	クロス	ジェフリー　S.	か	くろす	じぇふりー すこっと	1	Jeffrey S.	Cross	融合理工学系	027	エネルギーコース	001	材料系	020	材料コース	020	融合理工学系	027	地球環境共創コース	027																	バイオマス工学	Biomass engineering	教育工学	Educational technology and learning	エネルギー政策	Energy policy			http://www.tse.ens.titech.ac.jp/~cross/	http://www.tse.ens.titech.ac.jp/~cross/	key_rid=6000012476		ｸﾛｽ	ｼﾞｪﾌﾘｰ ｽｺｯﾄ			
40	応用化学系	021	准教授	002	桑田	繁樹	か	くわた	しげき	3	Shigeki	Kuwata	応用化学系	021	応用化学コース	021	応用化学系	021	エネルギーコース	001																					金属錯体化学	Coordination chemistry	有機金属化学	Organometallic chemistry	均一系触媒	Homogeneous catalysis			http://www.apc.titech.ac.jp/~skuwata/skuwata.html	http://www.apc.titech.ac.jp/~skuwata/skuwata-e.html	key_rid=5000039838		ｸﾜﾀ	ｼｹﾞｷ			
41	システム制御系	016	教授	001	小酒	英範	か	こさか	ひでのり	3	Hidenori	Kosaka	システム制御系	016	システム制御コース	016	機械系	015	機械コース	015	機械系	015	エネルギーコース	001																	エンジン	Internal combustion engines	燃焼工学	Combustion engineering	レーザー計測	Laser diagnostics			http://www.ec.ctrl.titech.ac.jp 	http://www.ec.ctrl.titech.ac.jp 	key_rid=1000279139		ｺｻｶ	ﾋﾃﾞﾉﾘ			
42	化学系	013	教授	001	腰原	伸也	か	こしはら	しんや	3	Shinya	Koshihara	化学系	013	エネルギーコース	001	化学系	013	化学コース	013																					光物性	Optical properties of solids	超高速レーザー	Ultrashort pulsed laser	固体物理	Solid state physics	物理化学	Chemical physics	http://www.chemistry.titech.ac.jp/~koshihara/	http://www.chemistry.titech.ac.jp/~koshihara/english2/index.html	key_rid=1000275596		ｺｼﾊﾗ	ｼﾝﾔ			
43	電気電子系	017	准教授	002	小寺	哲夫	か	こでら	てつお	3	Tetsuo	Kodera	電気電子系	017	電気電子コース	017	電気電子系	017	エネルギーコース	001																					量子コンピュータ関連基盤技術	Fundamental technologies for quantum computers	量子情報デバイス	Quantum information devices	ナノ量子エレクトロニクス	Nano quantum electronics	固体物理	Solid-state physics	http://www.quantum.ee.e.titech.ac.jp/	http://www.quantum.ee.e.titech.ac.jp/	key_rid=6000021720		ｺﾃﾞﾗ	ﾃﾂｵ			
