■エネルギーコース　担当教員一覧													※技術経営専門職学位過程は「担当系」のみに入力																																											
																																																								
NO	管理サイト		職種		教員名								主担当				副担当1				副担当2				副担当3				副担当4				副担当5				副担当6				研究分野1		研究分野2		研究分野3		研究分野4		詳細サイト		研究者情報（STAR Search）					
					日本語（Webサイト表示用）		日本語（かな・50音順ソート用）			英語（Webサイト表示用）			担当系		担当コース		担当系		担当コース		担当系		担当コース		担当系		担当コース		担当系		担当コース		担当系		担当コース		担当系		担当コース		日本語	英語	日本語	英語	日本語	英語	日本語	英語	日本語	英語			教員名　半角カナ			
	管理サイト名	コード	職種名	系サイト職種コード	姓	名	種別	姓	名	種別	名	姓	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード									URL	URL	ＩＤ		姓	名	キャンパス	居所
52	機械系	15	教授	1	末包	哲也	さ	すえかね	てつや	4	Tetsuya	Suekane	機械系	15	エネルギーコース	1	機械系	15	機械コース	15																					二酸化炭素地下貯留	Carbon dioxide capture and storage（CCS）	原油増進回収	Enhanced oil recovery（EOR)	温暖化防止	Mitigation of global warming	エネルギー変換	Energy conversion	http://www.suekane.mech.e.titech.ac.jp/index-j.html	http://www.suekane.mech.e.titech.ac.jp/	key_rid=B000260459		ｽｴｶﾈ	ﾃﾂﾔ	"すずかけ
大岡山"	G3-422
53	材料系	20	教授	1	須佐	匡裕	さ	すさ	まさひろ	4	Masahiro	Susa	材料系	20	エネルギーコース	1	材料系	20	材料コース	20																					金属物理化学	Physical chemistry of metals	鉄鋼生産プロセス	Steelmaking process	熱物性測定	Thermophysical properties measueents	サーマルマネジメント	Thermal management	http://www.susalab.mtl.titech.ac.jp/	http://www.susalab.mtl.titech.ac.jp/english/	key_rid=1000181709		ｽｻ	ﾏｻﾋﾛ	大岡山	南8-312
54	応用化学系	21	助教	4	鈴木	耕太	さ	すずき	こうた	4	Kota	Suzuki	応用化学系	21	エネルギーコース	1																									固体電解質	Solid electrolytes	高容量電極材料	High capacity electrode materials 	全固体電池	All-solid-state batteries	界面反応解析	Interfacial reaction analysis	http://www.kanno.echem.titech.ac.jp/	http://www.kanno.echem.titech.ac.jp/english/	key_t2r2Rid=CTT100513031		ｽｽﾞｷ	ｺｳﾀ	すずかけ	G1-1017
55	応用化学系	21	教授	1	関口	秀俊	さ	せきぐち	ひでとし	4	Hidetoshi	Sekiguchi	応用化学系	21	応用化学コース	21	応用化学系	21	エネルギーコース	1																					プラズマプロセッシング	Plasma processing 	高エネルギー密度場反応工学	Reaction enginering with high energy density field	熱エネルギー工学	Thermal energy engineering	環境化学工学	Environmental chemical engineering	http://www.chemeng.titech.ac.jp/01annai/fclty/profile/hsekiguc/profilej.htm	http://www.chemeng.titech.ac.jp/english/faculty/sekiguchi/profile.html	key_rid=1000015265		ｾｷｸﾞﾁ	ﾋﾃﾞﾄｼ	大岡山	南4-401C
56	材料系	20	教授	1	曽根	正人	さ	そね	まさと	4	Masato	Sone	材料系	20	ライフエンジニアリングコース	3	材料系	20	材料コース	20	材料系	20	エネルギーコース	1																											key_t2r2Rid=CTT100381840		ｿﾈ	ﾏｻﾄ	すずかけ	R2-920
57	融合理工学系	27	教授	1	高橋	邦夫	た	たかはし	くにお	4	Kunio	Takahashi	融合理工学系	27	地球環境共創コース	27	融合理工学系	27	エンジニアリングデザインコース	2	融合理工学系	27	エネルギーコース	1																	機械工学	Mechanical engineering	材料工学	Material science	接合工学	Welding and joining 	トライボロジー	Tribology	http://www.ide.titech.ac.jp/~KT-lab/	http://www.ide.titech.ac.jp/~KT-lab/	key_rid=1000015374		ﾀｶﾊｼ	ｸﾆｵ	大岡山	"石川台
4-201"
	電気電子系	17	准教授	2	竹内	希	た	たけうち	のぞみ		Nozomi	Takeuchi	電気電子系	17	電気電子コース	17	電気電子系	17	エネルギーコース	1																					電気流体力学効果	Electrohydrodynamic Effects	水中気泡内プラズマ	Non-equilibrium plasmas in water									タケウチ	ノゾミ	大岡山	南3-616
58	材料系	20	教授	1	竹山	雅夫	た	たけやま	まさお	4	Masao	Takeyama	材料系	20	材料コース	20	材料系	20	エネルギーコース	1																					耐熱合金・耐熱鋼	Heat resistant alloys/Steels	組織制御	Microstructure control	金属間化合物	Intermetallic alloys	鉄鋼材料	Ferrous materials	http://steel.mtl.titech.ac.jp/	http://steel.mtl.titech.ac.jp/english/	key_rid=1000181710		ﾀｹﾔﾏ	ﾏｻｵ	大岡山	南8-506
59	応用化学系	21	教授	1	多湖	輝興	た	たご	てるおき	4	Teruoki	Tago	応用化学系	21	応用化学コース	21	応用化学系	21	エネルギーコース	1																					化学工学	Chemical engineering	触媒反応工学	Catalysis and reaction engineering	石油化学	Petrochemical	バイオマス	Biomass	http://www.chemeng.titech.ac.jp/~tagolabo/index.html	http://www.chemeng.titech.ac.jp/~tagolabo/english/index.html	key_rid=1000265991		ﾀｺﾞ	ﾃﾙｵｷ	大岡山	南1-304
60	機械系	15	教授	1	店橋	護	た	たなはし	まもる	4	Mamoru	Tanahashi	機械系	15	エネルギーコース	1	機械系	15	機械コース	15																					乱流	Turbulent flows	反応性乱流	Turbulent reacting flows	レーザー計測	Laser diagnostics	高性能数値計算	High performance computing	http://www.reactiveflows.mech.e.titech.ac.jp/	http://www.reactiveflows.mech.e.titech.ac.jp/index_en.html	key_rid=1000015412		ﾀﾅﾊｼ	ﾏﾓﾙ	大岡山	石川台1-210
61	応用化学系	21	准教授	2	谷口	泉	た	たにぐち	いずみ	4	Izumi	Taniguchi	応用化学系	21	応用化学コース	21	応用化学系	21	エネルギーコース	1																					ナノ構造材料プロセシング	Nanostructure material processing	エネルギー貯蔵デバイス	Energy storage device	電気化学	Electrochemistry	化学工学	Chemical engineering	http://www.chemeng.titech.ac.jp/~itlab/index-j.html	http://www.chemeng.titech.ac.jp/~itlab/index.html	key_rid=1000015268		ﾀﾆｸﾞﾁ	ｲｽﾞﾐ	大岡山	南4-403C
62	化学系	13	助教	4	玉置	悠祐	た	たまき	ゆうすけ	4	Yusuke	Tamaki	化学系	13	エネルギーコース	1																									錯体の光化学	Photochemistry of coordination compounds	CO2還元	CO2 reduction	人工光合成	Artificial photosynthesis			http://www.chemistry.titech.ac.jp/~ishitani/index.html	http://www.chemistry.titech.ac.jp/~ishitani/en/index_en.html	key_t2r2Rid=CTT100517999		ﾀﾏｷ	ﾕｳｽｹ	大岡山	北3-703
63	応用化学系	21	准教授	2	田巻	孝敬	た	たまき	たかのり	4	Takanori	Tamaki	応用化学系	21	応用化学コース	21	応用化学系	21	エネルギーコース	1																					化学工学	Chemical engineering	機能材料システム設計	Systematic material design	燃料電池	Fuel cell	バイオインスパイアード材料	Bio-inspired materials	http://www.res.titech.ac.jp/~zairyosys/yamaguchilab/index.html	http://www.res.titech.ac.jp/~zairyosys/yamaguchilab/e/index.html	key_rid=6000021730		ﾀﾏｷ	ﾀｶﾉﾘ	すずかけ	R1-610
64	電気電子系	17	教授	1	千葉	明	た	ちば	あきら	1	Akira	Chiba	電気電子系	17	電気電子コース	17	電気電子系	17	エネルギーコース	1																					ドライブエレクトロニクス	Drive electronics	パワーメカトロニクス	Power mechatronics	回転機	Electric machines	電気機器学	Electric apparatus	http://www.chiba.ee.titech.ac.jp/index.html	http://www.chiba.ee.titech.ac.jp/english/index.html	key_rid=1000082070		ﾁﾊﾞ	ｱｷﾗ	大岡山	南3-607
65	融合理工学系	27	准教授	2	時松	宏治	た	ときまつ	こうじ	4	Koji	Tokimatsu	融合理工学系	27	地球環境共創コース	27	融合理工学系	27	エネルギーコース	1																					エネルギー技術評価	Energy technology assessment	エネルギーシステム分析	Energy systems analysis	ライフサイクルアセスメント	Lifecycle assessment	資源環境経済学	Environmental and resource economics	http://www.kt.depe.titech.ac.jp/	http://www.kt.depe.titech.ac.jp/	key_rid=5000087076		ﾄｷﾏﾂ	ｺｳｼﾞ	すずかけ	G5-605
66	応用化学系	21	教授	1	冨田	育義	た	とみた	いくよし	4	Ikuyoshi	Tomita	応用化学系	21	エネルギーコース	1	応用化学系	21	応用化学コース	21																					高分子合成	Polymer synthesis	高分子反応	Polymer reaction	機能性高分子	Functional polymer	有機金属化学	Organometallic chemistry	http://www.echem.titech.ac.jp/~tomita/tomita.html	http://www.echem.titech.ac.jp/~tomita/tomita.html	key_rid=1000015730		ﾄﾐﾀ	ｲｸﾖｼ	すずかけ	G1-614
67	応用化学系	21	准教授	2	豊田	栄	た	とよだ	さかえ	4	Sakae	Toyoda	応用化学系	21	応用化学コース	21	応用化学系	21	エネルギーコース	1																					大気化学	Atmospheric chemistry	地球環境化学	Earth and environmental chemistry	物質循環学	Material cycle analysis	分析化学	Analytical chemistry	http://nylab.chemenv.titech.ac.jp/~stoyoda/index.html	http://nylab.chemenv.titech.ac.jp/~stoyoda/index.html	key_rid=1000279242		ﾄﾖﾀﾞ	ｻｶｴ	すずかけ	G1-914
68	応用化学系	21	准教授	2	長井	圭治	な	ながい	けいじ	3	Keiji	Nagai	応用化学系	21	エネルギーコース	1	応用化学系	21	応用化学コース	21																					光エネルギー変換材料	Photoenergyconversion materials	化学デバイス	Chemical devices	レーザー量子線発生	Laser-induced quantum beam	有機光触媒反応	Organophotocatalysis	http://ime.res.titech.ac.jp/	http://ime.res.titech.ac.jp/english/	key_rid=1000245608		ﾅｶﾞｲ	ｹｲｼﾞ	すずかけ	R1A-303
69	機械系	15	准教授	2	長﨑	孝夫	な	ながさき	たかお	3	Takao	Nagasaki	機械系	15	エネルギーコース	1	機械系	15	機械コース	15																					熱工学	Thermal engineering	伝熱	Heat transfer	相変化伝熱	Phase-change heat transfer	熱流体数値解析	Numerical analysis of heat and fluid flow	http://www.nagasaki.mech.e.titech.ac.jp/	http://www.nagasaki.mech.e.titech.ac.jp/index-e.html	key_t2r2Rid=CTT100381289		ﾅｶﾞｻｷ	ﾀｶｵ	すずかけ	G3-402
70	電気電子系	17	助教	4	中田	和吉	な	なかだ	かずよし	3	Kazuyoshi	Nakada	電気電子系	17	エネルギーコース	1																									シリコン太陽電池	Silicon solar cells	半導体デバイス	Semiconductor devices					http://solid.pe.titech.ac.jp/	http://solid.pe.titech.ac.jp/	key_t2r2Rid=CTT100509430		ﾅｶﾀﾞ	ｶｽﾞﾖｼ	大岡山	北3-407
71	電気電子系	17	教授	1	七原	俊也	な	ななはら	としや	3	Toshiya	Nanahara	電気電子系	17	電気電子コース	17	電気電子系	17	エネルギーコース	1																					電力システム	Electric power system	風力発電	Wind power generation	太陽光発電	Photovoltaic power generation	分散形電源	Distributed generator			key_rid=7000005542		ﾅﾅﾊﾗ	ﾄｼﾔ	大岡山	南3-619
72	材料系	20	助教	4	難波江	裕太	な	なばえ	ゆうた	3	Yuta	Nabae	材料系	20	エネルギーコース	1																									触媒	Catalysis	電気化学	Electrochemistry	ハイパーブランチポリマー	Hyperbranched polymer	燃料電池	Fuel cell	http://www.hayakawa.op.titech.ac.jp/jpn/index.html	http://www.hayakawa.op.titech.ac.jp/eng/index.html	key_rid=5000065125		ﾅﾊﾞｴ	ﾕｳﾀ	大岡山	南8-804
73	応用化学系	21	助教	4	西山	寛樹	な	にしやま	ひろき	3	Hiroki	Nishiyama	応用化学系	21	エネルギーコース	1																																			key_t2r2Rid=CTT100557477		ﾆｼﾔﾏ	ﾋﾛｷ	すずかけ	G1-615
74	機械系	15	教授	1	野崎	智洋	な	のざき	ともひろ	3	Tomohiro	Nozaki	機械系	15	エネルギーコース	1	機械系	15	機械コース	15																					エネルギー工学	Energy engineering	熱工学	Thermal engineering	プラズマ材料科学	Plasma materials science	反応工学	Reaction engineering	http://www.nano-silicon.com/ats/	http://www.nano-silicon.com/ats/index-e.html	key_rid=1000279279		ﾉｻﾞｷ	ﾄﾓﾋﾛ	大岡山	石川台6-311
75	電気電子系	17	准教授	2	萩原	誠	は	はぎわら	まこと	2	Makoto	Hagiwara	電気電子系	17	エネルギーコース	1	電気電子系	17	電気電子コース	17																					パワーエレクトロニクス	Power electronics	モータドライブ	Motor drive	電力システム	Electric power system			http://www.akg.ee.titech.ac.jp/	http://www.akg.ee.titech.ac.jp/	key_rid=5000093269		ﾊｷﾞﾜﾗ	ﾏｺﾄ	大岡山	北3-402
76	応用化学系	21	助教	4	長谷川	馨	は	はせがわ	けい	2	Kei	Hasegawa	応用化学系	21	エネルギーコース	1																																			key_rid=7000003371		ﾊｾｶﾞﾜ	ｹｲ	大岡山	北3-613
77	融合理工学系	27	准教授	2	長谷川	純	は	はせがわ	じゅん	2	Jun	Hasegawa	融合理工学系	27	原子核工学コース	4	機械系	15	機械コース	15	機械系	15	エネルギーコース	1																	量子ビーム科学	Quantum beam science	プラズマ科学	Plasma science	ナノ・マイクロ科学	Nano micro science	高エネルギー密度科学	High energy density science	http://www.lane.iir.titech.ac.jp/~jhasegaw/	http://www.lane.iir.titech.ac.jp/~jhasegaw/	key_rid=1000275178		ﾊｾｶﾞﾜ	ｼﾞｭﾝ	すずかけ	G3-504
78	電気電子系	17	教授	1	波多野	睦子	は	はたの	むつこ	2	Mutsuko	Hatano 	電気電子系	17	エネルギーコース	1	電気電子系	17	電気電子コース	17																					電子デバイス	Electron device	パワーデバイス	Power device	量子センサ	Quantum sensor	半導体物性	Solid-state physics	http://dia.pe.titech.ac.jp/	http://dia.pe.titech.ac.jp/	key_rid=6000017099		ﾊﾀﾉ	ﾑﾂｺ	大岡山	北3-410
79	材料系	20	教授	1	バッハ	マーティン	は	ばっは 	まーてぃん	5	Martin	Vacha	材料系	20	材料コース	20	材料系	20	エネルギーコース	1																					有機材料光物性	Optical properties of organic materials	有機物質光物理的特性	Photophysics of organic molecules	単一分子分光	Single-molecule spectroscopy			http://www.op.titech.ac.jp/lab/vacha/index.html	http://www.op.titech.ac.jp/lab/vacha/index-e.html	key_rid=5000094690		ﾊﾞｯﾊ 	ﾏｰﾃｨﾝ	大岡山	南8-608
80	機械系	15	教授	1	花村	克悟	は	はなむら	かつのり	2	Katsunori	Hanamura	機械系	15	エネルギーコース	1	機械系	15	機械コース	15																					熱工学	Thermal engineering	近接場ふく射輸送	Near-field radiation transfer	電気化学（固体酸化物燃料電池）	Electrochemistry (Solid oxide fuel cell)	ディーゼル排ガス処理	After treatment for diesel engine	http://www.tanso.mech.e.titech.ac.jp/hanamura/index-j.html	http://www.tanso.mech.e.titech.ac.jp/hanamura/index-e.html	key_rid=5000064975		ﾊﾅﾑﾗ	ｶﾂﾉﾘ	大岡山	北3-610
81	応用化学系	21	助教	4	巾崎	潤子	は	はばさき	じゅんこ	2	Junko	Habasaki	応用化学系	21	エネルギーコース	1																									分子動力学シミュレーション	Molecular dynamics simulation	イオン伝導性ガラスのダイナミクス	Dynamics in ionically conducting glasses	イオン液体の物理	Physics in ionic liquids	自己組織化によるゲル化の全原子MDシミュレーション	Fully atomistic molecular dynamics simulation of　formation of gel by self organization			key_rid=1000222097		ﾊﾊﾞｻｷ	ｼﾞｭﾝｺ	すずかけ	J3-1714
82	材料系	20	准教授	2	林	幸	は	はやし	みゆき	2	Miyuki	Hayashi	材料系	20	エネルギーコース	1	材料系	20	材料コース	20																															key_rid=1000279220		ﾊﾔｼ	ﾐﾕｷ	大岡山	南8-313
83	材料系	20	教授	1	原	亨和	は	はら	みちかず	2	Michikazu	Hara	材料系	20	材料コース	20	材料系	20	エネルギーコース	1																					触媒	Catalyst	化学反応	Chemical reaction	無機	Inorganic	不均一系触媒作用	Heterogeneous catalysis	http://www.msl.titech.ac.jp/~hara/index.html	http://www.msl.titech.ac.jp/~hara/index-e.html	key_rid=1000203929		ﾊﾗ	ﾐﾁｶｽﾞ	すずかけ	R3-407
84	応用化学系	21	教授	1	原	正彦	は	はら	まさひこ	2	Masahiko	Hara	応用化学系	21	応用化学コース	21	応用化学系	21	エネルギーコース	1																					自己組織化と有機超薄膜	Self-assembly and organic thin films	ナノテクノロジー	Nanotechnology	表面・界面化学	Surface and interface chemistry	化学進化と生命の起源	Chemical evolution and origins of life	http://www.echem.titech.ac.jp/~hara/	http://www.echem.titech.ac.jp/~hara/?page_id=140	key_rid=5000065000		ﾊﾗ	ﾏｻﾋｺ	すずかけ	G1-1008
85	機械系	15	教授	1	平井	秀一郎	は	ひらい	しゅういちろう	2	Shuichiro	Hirai	機械系	15	機械コース	15	機械系	15	エネルギーコース	1																					燃料電池	Fuel cell	リチウム空気電池	Lithium-air battery	吸着式ヒートポンプ	Absorption heat pump	CO2地中隔離	CO2 geological sequestration	http://www.tanso.mech.e.titech.ac.jp/hirai_index-j.html	 http://www.tanso.mech.e.titech.ac.jp/hirai_index-e.html	key_rid=7000018084		ﾋﾗｲ	ｼｭｳｲﾁﾛｳ	大岡山	北3-608
86	応用化学系	21	准教授	2	平山	雅章	は	ひらやま	まさあき	2	Masaaki	Hirayama	応用化学系	21	エネルギーコース	1	応用化学系	21	応用化学コース	21																					無機固体化学	Solid state chemistry	エネルギー変換材料	Energy conversion materials	リチウムイオン電池	Lithium ion batteries	電気化学界面設計	Design of electrochemical interface	http://www.kanno.echem.titech.ac.jp/paper.php	http://www.kanno.echem.titech.ac.jp/english/	key_rid=6000014352		ﾋﾗﾔﾏ	ﾏｻｱｷ	すずかけ	G1-1012
87	化学系	13	助教	4	藤井	孝太郎	は	ふじい	こうたろう	2	Kotaro	Fujii	化学系	13	エネルギーコース	1																									結晶化学	Chemical crystallography	機能性無機材料	Functional inorganic materials	回折法	Diffractometry					key_rid=B000226806		ﾌｼﾞｲ	ｺｳﾀﾛｳ	大岡山	西4-405
88	電気電子系	17	准教授	2	藤田	英明	は	ふじた	ひであき	2	Hideaki	Fujita	電気電子系	17	電気電子コース	17	電気電子系	17	エネルギーコース	1																					パワーエレクトロニクス	Power electronics	電気機器	Electric machinery	電力工学	Electric power engineering			http://www.pel.ee.e.titech.ac.jp/jp/	http://www.pel.ee.e.titech.ac.jp/en/	key_rid=5000039911		ﾌｼﾞﾀ	ﾋﾃﾞｱｷ	大岡山	北3-404
89	機械系	15	准教授	2	伏信	一慶	は	ふしのぶ	かずよし	2	Kazuyoshi	Fushinobu	機械系	15	機械コース	15	機械系	15	エネルギーコース	1	融合理工学系	27	エネルギーコース	1																	エネルギー・熱工学	Energy and thermal engineering	燃料電池・水素製造	Fuel cell and hydrogen production	微細加工・レーザ応用	Micro/nano-processing and laser applications	エネルギー変換・電子機器実装	Energy conversion/Electronics packaging	http://www.f-epl.mech.e.titech.ac.jp/Site/Index.html	http://www.f-epl.mech.e.titech.ac.jp/english/Index-E.html	key_rid=1000181728		ﾌｼﾉﾌﾞ	ｶｽﾞﾖｼ	大岡山	石川台6-223C
90	材料系	20	教授	1	細田	秀樹	は	ほそだ	ひでき	2	Hideki	Hosoda	材料系	20	材料コース	20	材料系	20	エネルギーコース	1	材料系	20	ライフエンジニアリングコース	3																	材料工学	Materials science and engineering	金属工学	Metallurgy	機能性材料	Functional materials	エネルギーおよび医療用材料	Energy and biomedical applications	http://www.mater.pi.titech.ac.jp/	http://www.mater.pi.titech.ac.jp/	key_rid=1000326000		ﾎｿﾀﾞ	ﾋﾃﾞｷ	すずかけ	R2-916
91	化学系	13	准教授	2	前田	和彦	ま	まえだ	かずひこ	3	Kazuhiko	Maeda	化学系	13	エネルギーコース	1	化学系	13	化学コース	13																					光触媒	Photocatalyst	人工光合成	Artificial photosynthesis	光電気化学	Photoelectrochemistry	ナノ材料	Nanomaterials	http://www.chemistry.titech.ac.jp/~ishitani/member/kmaeda/Home.html	http://www.chemistry.titech.ac.jp/~ishitani/member/kmaeda/Home.html	key_rid=6000015609		ﾏｴﾀﾞ	ｶｽﾞﾋｺ	大岡山	北3-702
92	材料系	20	准教授	2	松下	祥子	ま	まつした	さちこ	3	Sachiko	Matsushita	材料系	20	材料コース	20	材料系	20	エネルギーコース	1																					エネルギー	Energy	熱電	Thermoelectric generator	コロイド	Colloid	無機	Inorganic material	http://www.rmat.ceram.titech.ac.jp/	http://www.rmat.ceram.titech.ac.jp/index_e.html	key_rid=5000072115		ﾏﾂｼﾀ	ｻﾁｺ	大岡山	南7-704
93	材料系	20	講師	3	松田	晃史	ま	まつだ	あきふみ	3	Akifumi	Matsuda	材料系	20	エネルギーコース	1	材料系	20	材料コース	20																					電子・エネルギー材料	Electronic and energy materials	無機薄膜・ナノ材料	Inorganic thin films and nanomaterials	原子スケールプロセス	Atomic-scale material processing	新材料探索	New materials development	http://www.yoshimoto.iem.titech.ac.jp/	http://www.yoshimoto.iem.titech.ac.jp/english.html	key_rid=B000273879		ﾏﾂﾀﾞ	ｱｷﾌﾐ	すずかけ	J3-1620
94	材料系	20	准教授	2	松本	英俊	ま	まつもと	ひでとし	3	Hidetoshi	Matsumoto	材料系	20	エネルギーコース	1	材料系	20	材料コース	20																					有機材料物理化学	Physical chemistry of organic materials 	ナノファイバー・ナノ材料	Nanofibers and nanomaterials	高分子膜	Polymer membranes and thin films	エネルギー変換・貯蔵	Energy conversion and storage	http://www.op.titech.ac.jp/lab/matsumoto/index-j.html	http://www.op.titech.ac.jp/lab/matsumoto/index-j.html	key_rid=5000039879		ﾏﾂﾓﾄ	ﾋﾃﾞﾄｼ	大岡山	南8-707
95	応用化学系	21	准教授	2	松本	秀行	ま	まつもと	ひでゆき	3	Hideyuki	Matsumoto	応用化学系	21	応用化学コース	21	応用化学系	21	エネルギーコース	1																					プロセスシステム工学	Process Systems Engineering	プロセス強化	Process Intensification	知的システム	Intelligent Systems			http://www.chemeng.titech.ac.jp/~cps/hm/index.html	http://www.chemeng.titech.ac.jp/~cps/hm/index.html	key_rid=1000279256		ﾏﾂﾓﾄ	ﾋﾃﾞﾕｷ	大岡山	南1-323
96	機械系	15	助教	4	源	勇気	ま	みなもと	ゆうき	3	Yuki	Minamoto	機械系	15	エネルギーコース	1																									乱流燃焼	Turbulent combustion	数値流体力学	Computational fluid dynamics	計算科学	Computational science	自然災害シミュレーション	Natural disaster simulations	http://www.reactiveflows.mech.e.titech.ac.jp/	http://www.reactiveflows.mech.e.titech.ac.jp/index_en.html	key_t2r2Rid=CTT100512175		ﾐﾅﾓﾄ	ﾕｳｷ	大岡山	石川台1-209
97	材料系	20	教授	1	宮内	雅浩	ま	みやうち	まさひろ	3	Masahiro	Miyauchi	材料系	20	エネルギーコース	1	材料系	20	材料コース	20																					光エネルギー変換材料	Photo-energy conversion materials	光触媒	Photocatalysis	太陽電池	Solar cell	無機溶液合成	Solution based synthesis of ceramics	http://scholar.google.co.jp/citations?hl=en&user=f8vRP-QAAAAJ	http://scholar.google.co.jp/citations?hl=en&user=f8vRP-QAAAAJ	key_rid=B000226793		ﾐﾔｳﾁ	ﾏｻﾋﾛ	大岡山	南7-819
98	電気電子系	17	准教授	2	宮島	晋介	ま	みやじま	しんすけ	3	Shinsuke	Miyajima	電気電子系	17	エネルギーコース	1	電気電子系	17	電気電子コース	17																					シリコン太陽電池	Silicon solar cells	半導体デバイス	Semiconductor devices	有機・無機ハイブリッド材料	Organic-Inorganic hybrid materials	銅酸化物系材料	Cu-based oxide materials	http://solid.pe.titech.ac.jp	http://solid.pe.titech.ac.jp	key_rid=6000014902		ﾐﾔｼﾞﾏ	ｼﾝｽｹ	大岡山	北3-408
99	機械系	15	准教授	2	村上	陽一	ま	むらかみ	よういち	3	Yoichi	Murakami	機械系	15	機械コース	15	機械系	15	エネルギーコース	1																					分子エネルギー工学	Molecular energy engineering	熱流体工学	Thermal and fluid engineering	変換機能マテリアル創出	Creation of functional materials for conversions	マルチスケール輸送現象の解明と設計	Elucidation and design of transport phenomena in multi-scale	http://www.mee.mech.e.titech.ac.jp/	http://www.mee.mech.e.titech.ac.jp/index-e.html	key_rid=6000021733		ﾑﾗｶﾐ	ﾖｳｲﾁ	大岡山	石川台1-411
100	応用化学系	21	准教授	2	森	伸介	ま	もり	しんすけ	3	Shinsuke	Mori	応用化学系	21	応用化学コース	21	応用化学系	21	エネルギーコース	1																															key_rid=5000039875		ﾓﾘ	ｼﾝｽｹ	大岡山	南4-501C
101	材料系	20	教授	1	森	健彦	ま	もり	たけひこ	3	Takehiko	Mori	材料系	20	エネルギーコース	1	材料系	20	材料コース	20																					有機エレクトロニクス	Organic electronics	有機トランジスタ	Organic ｔransistors	有機伝導体	Organic conductors	物性物理化学	Solid-state physical chemistry	http://www.op.titech.ac.jp/lab/mori/mori.html	http://www.op.titech.ac.jp/lab/mori/mori.e.html	key_rid=1000144715		ﾓﾘ	ﾀｹﾋｺ	大岡山	南8-806
102	化学系	13	教授	1	八島	正知	や	やしま	まさとも	5	Masatomo	Yashima	化学系	13	エネルギーコース	1	化学系	13	化学コース	13																					材料科学・物質科学	Materials science	エネルギー・環境材料	Materials for energy and environments	結晶構造解析・中性子・X線回折	Crystal structure analysis by neutron/X-ray diffraction	無機化学・物理化学	"Inroganic chemistry, Physical chemistry"	http://www.cms.titech.ac.jp/~yashima/	http://www.cms.titech.ac.jp/~yashima/index.php?lang=e	key_rid=B000303221		ﾔｼﾏ	ﾏｻﾄﾓ	大岡山	西4-410
103	電気電子系	17	教授	1	安岡	康一	や	やすおか	こういち	5	Koichi	Yasuoka	電気電子系	17	電気電子コース	17	電気電子系	17	エネルギーコース	1																					プラズマ工学	Plasma engineering	高電圧工学	High voltage engineering	静電気工学	Electrostatics			http://www.plasma.ee.titech.ac.jp/	http://www.plasma.ee.titech.ac.jp/english/	key_rid=1000181741		ﾔｽｵｶ	ｺｳｲﾁ	大岡山	南3-616
104	材料系	20	准教授	2	安田	公一	や	やすだ	こういち	5	Kouichi	Yasuda	材料系	20	材料コース	20	材料系	20	エネルギーコース	1																					構造用セラミックス	Engineering ceramics	材料力学	Solid mechanics	統計力学	Statistical mechanics	信頼性	Reliability	http://www.cmc.ceram.titech.ac.jp/index.html	http://www.cmc.ceram.titech.ac.jp/index_e.html	key_rid=1000015259		ﾔｽﾀﾞ	ｺｳｲﾁ	大岡山	南7-612
105	材料系	20	助教	4	山口	晃	や	やまぐち	あきら	5	Akira	Yamaguchi	材料系	20	エネルギーコース	1																																			key_t2r2Rid=CTT100703953		ﾔﾏｸﾞﾁ	ｱｷﾗ	大岡山	南7-819
106	応用化学系	21	教授	1	山口	猛央	や	やまぐち	たけお	5	Takeo	Yamaguchi	応用化学系	21	応用化学コース	21	応用化学系	21	エネルギーコース	1																					化学工学	Chemical engineering	機能材料システム設計	Systematic material design	燃料電池	Fuel cell	バイオインスパイアード材料	Bio-inspired materials	http://www.res.titech.ac.jp/~zairyosys/yamaguchilab/index.html	http://www.res.titech.ac.jp/~zairyosys/yamaguchilab/e/index.html	key_rid=6000012465		ﾔﾏｸﾞﾁ	ﾀｹｵ	すずかけ	R1-612
107	電気電子系	17	教授	1	山田	明	や	やまだ	あきら	5	Akira	Yamada	電気電子系	17	エネルギーコース	1	電気電子系	17	電気電子コース	17																					太陽電池	Solar cells	半導体デバイス	Semiconductor devices	Cu(InGa)Se2	Cu(InGa)Se2	Cu2ZnSn(SSe)4	Cu2ZnSn(SSe)4	http://solid.pe.titech.ac.jp	http://solid.pe.titech.ac.jp	key_rid=1000015490		ﾔﾏﾀﾞ	ｱｷﾗ	大岡山	北3-409
108	応用化学系	21	准教授	2	山田	桂太	や	やまだ	けいた	5	Keita	Yamada	応用化学系	21	応用化学コース	21	応用化学系	21	エネルギーコース	1																					アイソトポミクス	Isotopomics	有機地球化学	Organic geochemistry	環境化学	Environmental chemistry	同位体地球化学	Isotope geochemistry	http://nylab.chemenv.titech.ac.jp/	http://nylab.chemenv.titech.ac.jp/index-e.html	key_rid=1000321748		ﾔﾏﾀﾞ	ｹｲﾀ	すずかけ	G1-208
