■エネルギーコース　担当教員一覧													※技術経営専門職学位過程は「担当系」のみに入力																																											
																																																								
NO	管理サイト		職種		教員名								主担当				副担当1				副担当2				副担当3				副担当4				副担当5				副担当6				研究分野1		研究分野2		研究分野3		研究分野4		詳細サイト		研究者情報（STAR Search）					
					日本語（Webサイト表示用）		日本語（かな・50音順ソート用）			英語（Webサイト表示用）			担当系		担当コース		担当系		担当コース		担当系		担当コース		担当系		担当コース		担当系		担当コース		担当系		担当コース		担当系		担当コース		日本語	英語	日本語	英語	日本語	英語	日本語	英語	日本語	英語			教員名　半角カナ			
	管理サイト名	コード	職種名	系サイト職種コード	姓	名	種別	姓	名	種別	名	姓	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード	選択式	コード									URL	URL	ＩＤ		姓	名	キャンパス	居所
12	機械系	15	教授	1	井上	剛良	あ	いのうえ	たかよし	2	Takayoshi	Inoue	機械系	15	機械コース	15	機械系	15	エネルギーコース	1																					伝熱工学	Heat transfer	熱工学	Thermal engineering	エネルギー工学	Energy engineering	航空宇宙工学	Ａｅｒｏｓｐａｃｅ engineering	http://www.netsu.mech.e.titech.ac.jp/index-j.html	http://www.netsu.mech.e.titech.ac.jp/	key_t2r2Rid=CTT100380575		ｲﾉｳｴ	ﾀｶﾖｼ	大岡山	石川台1-412
13	応用化学系	21	教授	1	伊原	学	あ	いはら	まなぶ	2	Manabu	Ihara	応用化学系	21	エネルギーコース	1	応用化学系	21	応用化学コース	21																					固体酸化物燃料電池	Solid oxide fuel cells	プラズモニック太陽電池	Plasmonic solar cells	ダイレクトカーボン燃料電池	Direct carbon fuel cells	エネルギーシステム設計	Design of energy system	http://www.chemeng.titech.ac.jp/~iharalab/		key_rid=1000221856		ｲﾊﾗ	ﾏﾅﾌﾞ	大岡山	北3-602
14	電気電子系	17	准教授	2	岩﨑	孝之	あ	いわさき	たかゆき	2	Takayuki	Iwasaki	電気電子系	17	電気電子コース	17	電気電子系	17	エネルギーコース	1																					ダイヤモンドエレクトロニクス	Diamond electronics	パワーデバイス	Power device	量子センシング	Quantum sensing			http://dia.pe.titech.ac.jp/	http://dia.pe.titech.ac.jp/	key_rid=6000006148		ｲﾜｻｷ	ﾀｶﾕｷ	大岡山	北3-401
15	化学系	13	教授	1	岩澤	伸治	あ	いわさわ	のぶはる	2	Nobuharu	Iwasawa	化学系	13	化学コース	13	化学系	13	エネルギーコース	1																					有機合成化学	Synthetic organic chemistry	有機金属化学	Organometallic chemistry	有機反応化学	Organic reactions	超分子化学	Supramolecular chemistry	http://www.chemistry.titech.ac.jp/~iwasawa/index.html	http://www.chemistry.titech.ac.jp/~iwasawa/index.html	key_rid=1000279016		ｲﾜｻﾜ	ﾉﾌﾞﾊﾙ	大岡山	東1-44
16	材料系	20	准教授	2	上田	光敏	あ	うえだ	みつとし	5	Mitsutoshi	Ueda	材料系	20	エネルギーコース	1	材料系	20	材料コース	20																					金属材料の高温酸化	High temperature oxidation of metallic materials	高温物理化学	Physical chemistry at high temperature					http://www.mkg.mtl.titech.ac.jp/		key_t2r2Rid=CTT100380408		ｳｴﾀﾞ	ﾐﾂﾄｼ	大岡山	南8-304
17	材料系	20	助教	4	遠藤	理恵	あ	えんどう	りえ	1	Rie	Endo	材料系	20	エネルギーコース	1																									高温熱物性	Thermophysical properties at high temperature	鉄鋼生産プロセス	Steelmaking process	金属物理化学	Physical chemistry of metals			http://www.susalab.mtl.titech.ac.jp/cat15/detail_62.html	http://www.susalab.mtl.titech.ac.jp/english/	key_rid=5000065031		ｴﾝﾄﾞｳ	ﾘｴ	大岡山	南8-311
18	機械系	15	准教授	2	大河	誠司	あ	おおかわ	せいじ	3	Seiji	Okawa	機械系	15	エネルギーコース	1	機械系	15	機械コース	15																					過冷却現象	Supercooling phenomenon	氷蓄熱システム	Ice storage system	固液相変化	Solid-liquid phase change	凍結濃縮	Freeze concentration	http://www.netsus.mech.e.titech.ac.jp/index.html	http://www.netsus.mech.e.titech.ac.jp/index-e.html	key_rid=1000015347		ｵｵｶﾜ	ｾｲｼﾞ	大岡山	石川台6-313
19	化学系	13	教授	1	大島	康裕	あ	おおしま	やすひろ	3	Yasuhiro	Ohshima	化学系	13	化学コース	13	化学系	13	エネルギーコース	1																					物理化学	Physical chemistry	分子分光学	Molecular spectroscopy	レーザー科学	Laser science	フェムト秒化学	Femto-chemistry	http://www.chemistry.titech.ac.jp/~ohshima/index.html	http://www.chemistry.titech.ac.jp/~ohshima/index_e.html	key_rid=1000011637		ｵｵｼﾏ	ﾔｽﾋﾛ	大岡山	西4-105B
20	応用化学系	21	助教	4	岡島	武義	あ	おかじま	たけよし	3	Takeyoshi	Okajima	応用化学系	21	エネルギーコース	1																									電気化学	Electrochemistry	電気分析化学	Electroanalysis	生物電気化学	Bioelectrochemistry					key_t2r2Rid=CTT100381196		ｵｶｼﾞﾏ	ﾀｹﾖｼ	すずかけ	G1-809
21	化学系	13	教授	1	岡田	哲男	あ	おかだ	てつお	3	Tetsuo	Okada	化学系	13	化学コース	13	化学系	13	エネルギーコース	1																					分析化学	Analytical chemistry	溶液化学	Solution chemistry	界面化学	Interfacial chemistry	マイクロ・ナノ化学	Micro/Nano chemistry	http://www.chemistry.titech.ac.jp/~okada/	http://www.chemistry.titech.ac.jp/english/chemistry/s_okada.html	key_rid=1000022856		ｵｶﾀﾞ	ﾃﾂｵ	大岡山	西4-609
